quote,author,tags
life isnt about finding yourself. life is about creating yourself.,George Bernard Shaw,"['inspirational', 'life', 'yourself']"
"today you are you, that is truer than true. there is no one alive who is youer than you.","Dr. Seuss,","['comedy', 'life', 'yourself']"
"to the wellorganized mind, death is but the next great adventure.","J.K. Rowling,","['death', 'dumbledore', 'harry', 'inspirational', 'philosophers-stone', 'ron', 'sorcerers-stone']"
im not afraid of death i just dont want to be there when it happens.,Woody Allen,"['death', 'fear', 'humor', 'life']"
"if one cannot enjoy reading a book over and over again, there is no use in reading it at all.",Oscar Wilde,"['books', 'reading']"
"if you want your children to be intelligent, read them fairy tales. if you want them to be more intelligent, read them more fairy tales.",Albert Einstein,"['children', 'fairy-tales']"
"have you fallen in love with the wrong person yet?jace said, ""unfortunately, lady of the haven, my one true love remains myself.""...""at least,"" she said, ""you dont have to worry about rejection, jace wayland.""""not necessarily. i turn myself down occasionally, just to keep it interesting.","Cassandra Clare,","['city-of-bones', 'jace']"
logic will get you from a to z imagination will get you everywhere.,Albert Einstein,['imagination']
"im in love with you,"" he said quietly.""augustus,"" i said.""i am,"" he said. he was staring at me, and i could see the corners of his eyes crinkling. ""im in love with you, and im not in the business of denying myself the simple pleasure of saying true things. im in love with you, and i know that love is just a shout into the void, and that oblivion is inevitable, and that were all doomed and that there will come a day when all our labor has been returned to dust, and i know the sun will swallow the only earth well ever have, and i am in love with you.","John Green,","['doomed', 'inevitable', 'love', 'oblivion', 'pleasure', 'simple']"
"whenever i feel the need to exercise, i lie down until it goes away.",Paul   Terry,"['exercise', 'humor', 'laziness', 'misattributed-to-hutchins']"
"i am nothing special, of this i am sure. i am a common man with common thoughts and ive led a common life. there are no monuments dedicated to me and my name will soon be forgotten, but ive loved another with all my heart and soul, and to me, this has always been enough..","Nicholas Sparks,",['love']
sometimes people are beautiful.not in looks.not in what they say.just in what they are.,"Markus Zusak,","['beauty', 'life']"
you dont get to choose if you get hurt in this world...but you do have some say in who hurts you. i like my choices.,"John Green,","['satisfaction', 'self-determination']"
"the truth is, everyone is going to hurt you. you just got to find the ones worth suffering for.",Bob Marley,['friendship']
"the more that you read, the more things you will know. the more that you learn, the more places youll go.","Dr. Seuss,","['learning', 'reading', 'seuss']"
"love looks not with the eyes, but with the mind,and therefore is winged cupid painted blind.","William Shakespeare,",['love']
folks are usually about as happy as they make their minds up to be.,Abraham Lincoln,['happiness']
"do what you can, with what you have, where you are.",Theodore Roosevelt,['inspirational']
there is no friend as loyal as a book.,Ernest Hemingway,"['books', 'friends', 'novelist-quotes']"
"one good thing about music, when it hits you, you feel no pain.",Bob Marley,['music']
"i find television very educating. every time somebody turns on the set, i go into the other room and read a book.",Groucho Marx,"['books', 'humor', 'reading', 'television']"
the story so farin the beginning the universe was created.this has made a lot of people very angry and been widely regarded as a bad move.,"Douglas Adams,","['humor', 'scifi']"
not all of us can do great things. but we can do small things with great love.,Mother Teresa,"['misattributed-to-mother-teresa', 'paraphrased']"
"success is not final, failure is not fatal it is the courage to continue that counts.",Winston S. Churchill,"['bravery', 'courage', 'failure', 'inspirational', 'success']"
"love is like the wind, you cant see it but you can feel it.","Nicholas Sparks,","['love', 'simile']"
"listen to the mustnts, child. listen to the donts. listen to the shouldnts, the impossibles, the wonts. listen to the never haves, then listen close to me... anything can happen, child. anything can be.",Shel Silverstein,"['anything-can-be', 'hope', 'impossible', 'inspirational', 'musn-t', 'possibilities', 'shouldn-t', 'won-t']"
"when one door of happiness closes, another opens but often we look so long at the closed door that we do not see the one which has been opened for us.",Helen Keller,['inspirational']
"if you live to be a hundred, i want to live to be a hundred minus one day so i never have to live without you.","Joan Powers,","['friendship', 'misattributed-a-a-milne']"
"so, this is my life. and i want you to know that i am both happy and sad and im still trying to figure out how that could be.","Stephen Chbosky,","['charlie', 'favourite-books', 'inspirational', 'sad', 'soul-searching', 'wallflower']"
"saying i notice youre a nerd is like saying, hey, i notice that youd rather be intelligent than be stupid, that youd rather be thoughtful than be vapid, that you believe that there are things that matter more than the arrest record of lindsay lohan. why is that? in fact, it seems to me that most contemporary insults are pretty lame. even lame is kind of lame. saying youre lame is like saying you walk with a limp. yeah, whatever, so does 50 cent, and hes done all right for himself.",John Green,"['humor', 'nerdfighters']"
"people think a soul mate is your perfect fit, and thats what everyone wants. but a true soul mate is a mirror, the person who shows you everything that is holding you back, the person who brings you to your own attention so you can change your life. a true soul mate is probably the most important person youll ever meet, because they tear down your walls and smack you awake. but to live with a soul mate forever? nah. too painful. soul mates, they come into your life just to reveal another layer of yourself to you, and then leave. a soul mates purpose is to shake you up, tear apart your ego a little bit, show you your obstacles and addictions, break your heart open so new light can get in, make you so desperate and out of control that you have to transform your life, then introduce you to your spiritual master...","Elizabeth Gilbert,",['love']
"it matters not what someone is born, but what they grow to be.","J.K. Rowling,",['dumbledore']
"life is like riding a bicycle. to keep your balance, you must keep moving.",Albert Einstein,"['life', 'simile']"
"there is nothing i would not do for those who are really my friends. i have no notion of loving people by halves, it is not my nature.","Jane Austen,","['friendship', 'love']"
"you dont love someone because theyre perfect, you love them in spite of the fact that theyre not.","Jodi Picoult,","['imperfect', 'love']"
some people never go crazy. what truly horrible lives they must lead.,Charles Bukowski,['humor']
the difference between genius and stupidity is genius has its limits.,Alexandre Dumas-fils,['misattributed-to-einstein']
"love never dies a natural death. it dies because we dont know how to replenish its source. it dies of blindness and errors and betrayals. it dies of illness and wounds it dies of weariness, of witherings, of tarnishings.",Anais Nin,"['death', 'love']"
"what really knocks me out is a book that, when youre all done reading it, you wish the author that wrote it was a terrific friend of yours and you could call him up on the phone whenever you felt like it. that doesnt happen much, though.","J.D. Salinger,","['authors', 'books', 'literature', 'reading', 'writing']"
"if you can make a woman laugh, you can make her do anything.",Marilyn Monroe,"['girls', 'love']"
"weâre all a little weird. and life is a little weird. and when we find someone whose weirdness is compatible with ours, we join up with them and fall into mutually satisfying weirdnessâand call it loveâtrue love.","Robert Fulghum,","['love', 'weirdness']"
"you donât have a soul, doctor. you are a soul. you have a body, temporarily.","Walter M. Miller Jr.,","['body-soul', 'misattributed-to-c-s-lewis']"
"i would venture to guess that anon, who wrote so many poems without signing them, was often a woman.","Virginia Woolf,",['women']
some infinities are bigger than other infinities.,"John Green,","['infinity', 'john-green', 'life', 'tfios', 'the-fault-in-our-stars']"
do one thing every day that scares you.,Eleanor Roosevelt,"['attributed', 'fear', 'inspiration']"
it is what you read when you dont have to that determines what you will be when you cant help it.,Oscar Wilde,"['books', 'reading']"
"the trouble with having an open mind, of course, is that people will insist on coming along and trying to put things in it.","Terry Pratchett,","['humor', 'open-mind', 'thinking']"
if i had a flower for every time i thought of you...i could walk through my garden forever.,Alfred Tennyson,"['friendship', 'love']"
"one must always be careful of books,"" said tessa, ""and what is inside them, for words have the power to change us.","Cassandra Clare,",['books']
not all those who wander are lost.,"J.R.R. Tolkien,","['bilbo', 'journey', 'lost', 'quest', 'travel', 'wander']"
time you enjoy wasting is not wasted time.,"Marthe Troly-Curtin,","['happiness', 'misattributed-john-lennon', 'procrastination', 'time']"
reality continues to ruin my life.,"Bill Watterson,","['calvin-and-hobbes', 'humor', 'life']"
things change. and friends leave. life doesnt stop for anybody.,"Stephen Chbosky,","['change', 'life']"
"there is no pretending,"" jace said with absolute clarity. ""i love you, and i will love you until i die, and if there is life after that, ill love you then.","Cassandra Clare,","['mortal-instruments', 'romance', 'teen-fantasy']"
who are you to judge the life i live?i know im not perfectand i dont live to bebut before you start pointing fingers...make sure you hands are clean!,Bob Marley,"['judge', 'life', 'live', 'perfection']"
the real lover is the man who can thrill you by kissing your forehead or smiling into your eyes or just staring into space.,Marilyn Monroe,['love']
"if theres a book that you want to read, but it hasnt been written yet, then you must write it.",Toni Morrison,"['books', 'writing']"
"piglet sidled up to pooh from behind. ""pooh!"" he whispered.""yes, piglet?""""nothing,"" said piglet, taking poohs paw. ""i just wanted to be sure of you.","A.A. Milne,","['friendship', 'piglet', 'pooh', 'reassurance']"
"to love at all is to be vulnerable. love anything and your heart will be wrung and possibly broken. if you want to make sure of keeping it intact you must give it to no one, not even an animal. wrap it carefully round with hobbies and little luxuries avoid all entanglements. lock it up safe in the casket or coffin of your selfishness. but in that casket, safe, dark, motionless, airless, it will change. it will not be broken it will become unbreakable, impenetrable, irredeemable. to love is to be vulnerable.","C.S. Lewis,",['love']
the only way out of the labyrinth of suffering is to forgive.,"John Green,","['compassion', 'life', 'suffering']"
"hes like a drug for you, bella.","Stephenie Meyer,","['drug', 'romance', 'simile']"
"do not pity the dead, harry. pity the living, and, above all those who live without love.","J.K. Rowling,",['live-death-love']
the reason i talk to myself is because iâm the only one whose answers i accept.,George Carlin,"['humor', 'insanity', 'lies', 'lying', 'self-indulgence', 'truth']"
"a wise girl kisses but doesnt love, listens but doesnt believe, and leaves before she is left.",Marilyn Monroe,[]
go to heaven for the climate and hell for the company.,Benjamin Franklin Wade,"['humor', 'misattributed-mark-twain', 'philosophy', 'theology']"
"i wish it need not have happened in my time,"" said frodo.""so do i,"" said gandalf, ""and so do all who live to see such times. but that is not for them to decide. all we have to decide is what to do with the time that is given us.","J.R.R. Tolkien,","['adventuring', 'death', 'time']"
"when someone loves you, the way they talk about you is different. you feel safe and comfortable.","Jess C. Scott,","['desire', 'emotion', 'friendship', 'honesty', 'imagination', 'individuality', 'life', 'love', 'passion', 'reality', 'relationships', 'romance', 'truth', 'wisdom', 'wise-words']"
"dumbledore watched her fly away, and as her silvery glow faded he turned back to snape, and his eyes were full of tears.""after all this time?""""always,"" said snape.","J.K. Rowling,","['dumbledore', 'life', 'love', 'snape']"
there is nothing to writing. all you do is sit down at a typewriter and bleed.,Ernest Hemingway,"['good', 'writing']"
"i declare after all there is no enjoyment like reading! how much sooner one tires of any thing than of a book! when i have a house of my own, i shall be miserable if i have not an excellent library.","Jane Austen,","['books', 'library', 'reading']"
"and, when you want something, all the universe conspires in helping you to achieve it.","Paulo Coelho,",['inspirational']
"i am good, but not an angel. i do sin, but i am not the devil. i am just a small girl in a big world trying to find someone to love.",Marilyn Monroe,[]
"he has achieved success who has lived well, laughed often, and loved muchwho has enjoyed the trust of pure women, the respect of intelligent men and the love of little childrenwho has filled his niche and accomplished his taskwho has never lacked appreciation of earths beauty or failed to express itwho has left the world better than he found it,whether an improved poppy, a perfect poem, or a rescued soulwho has always looked for the best in others and given them the best he hadwhose life was an inspirationwhose memory a benediction.","Bessie Anderson Stanley,","['life', 'misattributed-to-emerson', 'success', 'widely-misattributed']"
"you may say im a dreamer, but im not the only one. i hope someday youll join us. and the world will live as one.",John Lennon,"['beatles', 'connection', 'dreamers', 'dreaming', 'dreams', 'hope', 'inspirational', 'peace']"
ive been making a list of the things they dont teach you at school. they dont teach you how to love somebody. they dont teach you how to be famous. they dont teach you how to be rich or how to be poor. they dont teach you how to walk away from someone you dont love any longer. they dont teach you how to know whats going on in someone elses mind. they dont teach you what to say to someone whos dying. they dont teach you anything worth knowing.,"Neil Gaiman,","['dying', 'facts', 'fame', 'knowing', 'love', 'poverty', 'reality', 'school', 'teach', 'wealth']"
â²classicâ² a book which people praise and dont read.,Mark Twain,"['books', 'classic', 'reading']"
i love mankind ... its people i cant stand!!,Charles M. Schulz,"['humor', 'mankind', 'people']"
you donât forget the face of the person who was your last hope.,"Suzanne Collins,",['the-hunger-games']
i am free of all prejudice. i hate everyone equally. ,W.C. Fields,"['humor', 'sinister']"
finish each day and be done with it. you have done what you could. some blunders and absurdities no doubt crept in forget them as soon as you can. tomorrow is a new day. you shall begin it serenely and with too high a spirit to be encumbered with your old nonsense.,Ralph Waldo Emerson,"['life', 'regrets']"
i have never let my schooling interfere with my education.,Mark Twain,['education']
the books that the world calls immoral are books that show the world its own shame.,"Oscar Wilde,","['books', 'morality', 'reading']"
the marks humans leave are too often scars.,"John Green,","['humans', 'pain', 'scars']"
you never really understand a person until you consider things from his point of view... until you climb inside of his skin and walk around in it.,"Harper Lee,",['better-life-empathy']
"remember, were madly in love, so its all right to kiss me anytime you feel like it.","Suzanne Collins,",['humor']
"a ladys imagination is very rapid it jumps from admiration to love, from love to matrimony in a moment.","Jane Austen,","['humor', 'love', 'romantic', 'women']"
to die will be an awfully big adventure.,"J.M. Barrie,","['adventure', 'love']"
"our deepest fear is not that we are inadequate. our deepest fear is that we are powerful beyond measure. it is our light, not our darkness that most frightens us. we ask ourselves, who am i to be brilliant, gorgeous, talented, fabulous? actually, who are you not to be? you are a child of god. your playing small does not serve the world. there is nothing enlightened about shrinking so that other people wont feel insecure around you. we are all meant to shine, as children do. we were born to make manifest the glory of god that is within us. its not just in some of us its in everyone. and as we let our own light shine, we unconsciously give other people permission to do the same. as we are liberated from our own fear, our presence automatically liberates others.","Marianne Williamson,","['akeelah', 'fear', 'inspirational']"
anyone who has never made a mistake has never tried anything new.,Albert Einstein,['mistakes']
some day you will be old enough to start reading fairy tales again.,C.S. Lewis,"['age', 'fairytales', 'growing-up']"
"we are what we pretend to be, so we must be careful about what we pretend to be.","Kurt Vonnegut,","['action', 'attitude', 'choice', 'imagination', 'inspiration', 'life', 'pretend']"
it takes courage to grow up and become who you really are.,E.E. Cummings,['courage']
"itâs no use going back to yesterday, because i was a different person then.",Lewis Carroll,"['alice', 'humor', 'inspirational', 'philosophy-of-life', 'psychological', 'yesterday']"
"and in that moment, i swear we were infinite.","Stephen Chbosky,",['infinity']
books are a uniquely portable magic.,"Stephen King,","['books', 'magic', 'reading']"
"you have to write the book that wants to be written. and if the book will be too difficult for grownups, then you write it for children.",Madeleine L'Engle,"['books', 'children', 'difficult', 'grown-ups', 'write', 'writers', 'writing']"
"im the one thats got to die when its time for me to die, so let me live my life the way i want to.","Jimi Hendrix,","['death', 'life']"
